"Date","Site","Depth","kd_interp"
2014-10-23,50,5.5,NA
2014-10-23,50,5.8,NA
2014-10-23,50,6,NA
2014-10-23,50,6.2,NA
2014-10-23,50,8,NA
2014-10-23,50,9,NA
2014-10-23,50,9.3,NA
2014-10-30,50,0.1,NA
2014-10-30,50,0.8,NA
2014-10-30,50,1.6,NA
2014-10-30,50,2.8,NA
2014-10-30,50,3.8,NA
2014-10-30,50,5,NA
2014-10-30,50,5.2,NA
2014-10-30,50,5.5,NA
2014-10-30,50,5.8,NA
2014-10-30,50,6,NA
2014-10-30,50,6.2,NA
2014-10-30,50,8,NA
2014-10-30,50,9,NA
2014-10-30,50,9.3,NA
2014-11-10,50,0.1,NA
2014-11-10,50,0.8,NA
2014-11-10,50,1.6,NA
2014-11-10,50,2.8,NA
2014-11-10,50,3.8,NA
2014-11-10,50,5,NA
2014-11-10,50,5.2,NA
2014-11-10,50,5.5,NA
2014-11-10,50,5.8,NA
2014-11-10,50,6,NA
2014-11-10,50,6.2,NA
2014-11-10,50,8,NA
2014-11-10,50,9,NA
2014-11-10,50,9.3,NA
2014-12-10,50,0.1,NA
2014-12-10,50,0.8,NA
2014-12-10,50,1.6,NA
2014-12-10,50,2.8,NA
2014-12-10,50,3.8,NA
2014-12-10,50,5,NA
2014-12-10,50,5.2,NA
2014-12-10,50,5.5,NA
2014-12-10,50,5.8,NA
2014-12-10,50,6,NA
2014-12-10,50,6.2,NA
2014-12-10,50,8,NA
2014-12-10,50,9,NA
2014-12-10,50,9.3,NA
2015-03-01,50,0.1,NA
2015-03-01,50,0.8,NA
2015-03-01,50,1.6,NA
2015-03-01,50,2.8,NA
2015-03-01,50,3.8,NA
2015-03-01,50,5,NA
2015-03-01,50,5.2,NA
2015-03-01,50,5.5,NA
2015-03-01,50,5.8,NA
2015-03-01,50,6,NA
2015-03-01,50,6.2,NA
2015-03-01,50,8,NA
2015-03-01,50,9,NA
2015-03-01,50,9.3,NA
2015-03-16,50,0.1,NA
2015-03-16,50,0.8,NA
2015-03-16,50,1.6,NA
2015-03-16,50,2.8,NA
2015-03-16,50,3.8,NA
2015-03-16,50,5,NA
2015-03-16,50,5.2,NA
2015-03-16,50,5.5,NA
2015-03-16,50,5.8,NA
2015-03-16,50,6,NA
2015-03-16,50,6.2,NA
2015-03-16,50,8,NA
2015-03-16,50,9,NA
2015-03-16,50,9.3,NA
2015-03-31,50,0.1,NA
2015-03-31,50,0.8,NA
2015-03-31,50,1.6,NA
2015-03-31,50,2.8,NA
2015-03-31,50,3.8,NA
2015-03-31,50,5,NA
2015-03-31,50,5.2,NA
2015-03-31,50,5.5,NA
2015-03-31,50,5.8,NA
2015-03-31,50,6,NA
2015-03-31,50,6.2,NA
2015-03-31,50,8,NA
2015-03-31,50,9,NA
2015-03-31,50,9.3,NA
2015-04-07,50,0.1,NA
2015-04-07,50,0.8,NA
2015-04-07,50,1.6,NA
2015-04-07,50,2.8,NA
2015-04-07,50,3.8,NA
2015-04-07,50,5,NA
2015-04-07,50,5.2,NA
2015-04-07,50,5.5,NA
2015-04-07,50,5.8,NA
2015-04-07,50,6,NA
